type,subtype,value
Lambda,PS|PS_r,10.0
Lambda,PS|PS_i,10.0
Lambda,PS|PS_z,10.0
Zeropoint,SWOPE|SWOPE_B,0.01
Zeropoint,SWOPE|SWOPE_V-LC-3014,0.01
Zeropoint,SWOPE|SWOPE_V-LC-3009,0.01
Zeropoint,SWOPE|SWOPE_V-LC-9844,0.01
Zeropoint,SWOPE|SWOPE_u,0.01
Zeropoint,SWOPE|SWOPE_g,0.01
Zeropoint,SWOPE|SWOPE_r,0.01
Zeropoint,SWOPE|SWOPE_i,0.01
Lambda,SWOPE|SWOPE_B,10.
Lambda,SWOPE|SWOPE_V-LC-3014,10.
Lambda,SWOPE|SWOPE_V-LC-3009,10.
Lambda,SWOPE|SWOPE_V-LC-9844,10.
Lambda,SWOPE|SWOPE_u,10.
Lambda,SWOPE|SWOPE_g,10.
Lambda,SWOPE|SWOPE_r,10.
Lambda,SWOPE|SWOPE_i,10.
Zeropoint,SWOPE|SWOPE_B2,0.01
Zeropoint,SWOPE|SWOPE_V2,0.01
Zeropoint,SWOPE|SWOPE_u2,0.01
Zeropoint,SWOPE|SWOPE_g2,0.01
Zeropoint,SWOPE|SWOPE_r2,0.01
Zeropoint,SWOPE|SWOPE_i2,0.01
Lambda,SWOPE|SWOPE_B2,10.
Lambda,SWOPE|SWOPE_V2,10.
Lambda,SWOPE|SWOPE_u2,10.
Lambda,SWOPE|SWOPE_g2,10.
Lambda,SWOPE|SWOPE_r2,10.
Lambda,SWOPE|SWOPE_i2,10.
Zeropoint,LOSS|LOSS_K1_B,0.01
Zeropoint,LOSS|LOSS_K2_B,0.01
Zeropoint,LOSS|LOSS_K3_B,0.01
Zeropoint,LOSS|LOSS_K4_B,0.01
Zeropoint,LOSS|LOSS_N1_B,0.01
Zeropoint,LOSS|LOSS_N2_B,0.01
Zeropoint,LOSS|LOSS_K1_V,0.01
Zeropoint,LOSS|LOSS_K2_V,0.01
Zeropoint,LOSS|LOSS_K3_V,0.01
Zeropoint,LOSS|LOSS_K4_V,0.01
Zeropoint,LOSS|LOSS_N1_V,0.01
Zeropoint,LOSS|LOSS_N2_V,0.01
Zeropoint,LOSS|LOSS_K1_R,0.01
Zeropoint,LOSS|LOSS_K2_R,0.01
Zeropoint,LOSS|LOSS_K3_R,0.01
Zeropoint,LOSS|LOSS_K4_R,0.01
Zeropoint,LOSS|LOSS_N2_R,0.01
Zeropoint,LOSS|LOSS_N1_R,0.01
Zeropoint,LOSS|LOSS_K1_I,0.01
Zeropoint,LOSS|LOSS_K2_I,0.01
Zeropoint,LOSS|LOSS_K3_I,0.01
Zeropoint,LOSS|LOSS_K4_I,0.01
Zeropoint,LOSS|LOSS_N1_I,0.01
Zeropoint,LOSS|LOSS_N2_I,0.01
Lambda,LOSS|LOSS_K1_B,20.
Lambda,LOSS|LOSS_K2_B,20.
Lambda,LOSS|LOSS_K3_B,20.
Lambda,LOSS|LOSS_K4_B,20.
Lambda,LOSS|LOSS_N1_B,20.
Lambda,LOSS|LOSS_N2_B,20.
Lambda,LOSS|LOSS_K1_V,20.
Lambda,LOSS|LOSS_K2_V,20.
Lambda,LOSS|LOSS_K3_V,20.
Lambda,LOSS|LOSS_K4_V,20.
Lambda,LOSS|LOSS_N1_V,20.
Lambda,LOSS|LOSS_N2_V,20.
Lambda,LOSS|LOSS_K1_R,20.
Lambda,LOSS|LOSS_K2_R,20.
Lambda,LOSS|LOSS_K3_R,20.
Lambda,LOSS|LOSS_K4_R,20.
Lambda,LOSS|LOSS_N1_R,20.
Lambda,LOSS|LOSS_N2_R,20.
Lambda,LOSS|LOSS_K1_I,20.
Lambda,LOSS|LOSS_K2_I,20.
Lambda,LOSS|LOSS_K3_I,20.
Lambda,LOSS|LOSS_K4_I,20.
Lambda,LOSS|LOSS_N1_I,20.
Lambda,LOSS|LOSS_N2_I,20.
Zeropoint,CalanTololo|Bessell12_B,0.03
Zeropoint,CalanTololo|Bessell12_V,0.02
Zeropoint,CalanTololo|Bessell12_R,0.03
Zeropoint,CalanTololo|Bessell12_I,0.03
Lambda,CalanTololo|Bessell12_B,10
Lambda,CalanTololo|Bessell12_V,10
Lambda,CalanTololo|Bessell12_R,10
Lambda,CalanTololo|Bessell12_I,10
Zeropoint,Krisciunas|Bessell12_U,0.05
Zeropoint,Krisciunas|Bessell12_B,0.03
Zeropoint,Krisciunas|Bessell12_V,0.02
Zeropoint,Krisciunas|Bessell12_R,0.03
Zeropoint,Krisciunas|Bessell12_I,0.03
Lambda,Krisciunas|Bessell12_U,10
Lambda,Krisciunas|Bessell12_B,10
Lambda,Krisciunas|Bessell12_V,10
Lambda,Krisciunas|Bessell12_R,10
Lambda,Krisciunas|Bessell12_I,10
Zeropoint,ANDICAM|ANDICAM_B,0.01
Zeropoint,ANDICAM|ANDICAM_V,0.01
Zeropoint,ANDICAM|ANDICAM_R,0.01
Zeropoint,ANDICAM|ANDICAM_I,0.01
Lambda,ANDICAM|ANDICAM_B,20
Lambda,ANDICAM|ANDICAM_V,20
Lambda,ANDICAM|ANDICAM_R,20
Lambda,ANDICAM|ANDICAM_I,20
Zeropoint,SNF|USNF,0.01
Zeropoint,SNF|BSNF,0.01
Zeropoint,SNF|VSNF,0.01
Zeropoint,SNF|RSNF,0.01
Zeropoint,SNF|ISNF,0.01
Lambda,SNF|USNF,0.5
Lambda,SNF|BSNF,0.5
Lambda,SNF|VSNF,0.5
Lambda,SNF|RSNF,0.5
Lambda,SNF|ISNF,0.5
Zeropoint,OtherNearby|Bessell12_U,0.05
Zeropoint,OtherNearby|Bessell12_B,0.03
Zeropoint,OtherNearby|Bessell12_V,0.02
Zeropoint,OtherNearby|Bessell12_R,0.03
Zeropoint,OtherNearby|Bessell12_I,0.03
Lambda,OtherNearby|Bessell12_U,10
Lambda,OtherNearby|Bessell12_B,10
Lambda,OtherNearby|Bessell12_V,10
Lambda,OtherNearby|Bessell12_R,10
Lambda,OtherNearby|Bessell12_I,10
Zeropoint,Knop|Bessell12_R,0.02
Zeropoint,Knop|Bessell12_I,0.02
Lambda,Knop|Bessell12_R,10
Lambda,Knop|Bessell12_I,10
Zeropoint,CfA34_FLWO|CfA3_MC_B,0.01
Zeropoint,CfA34_FLWO|CfA3_KC_B_1,0.01
Zeropoint,CfA34_FLWO|CfA4_KC_B_1,0.01
Zeropoint,CfA34_FLWO|CfA4_KC_B_2,0.01
Zeropoint,CfA34_FLWO|CfA3_MC_V,0.01
Zeropoint,CfA34_FLWO|CfA3_KC_V_1,0.01
Zeropoint,CfA34_FLWO|CfA4_KC_V_1,0.01
Zeropoint,CfA34_FLWO|CfA4_KC_V_2,0.01
Zeropoint,fA34_FLWO|CfA3_MC_r,0.01
Zeropoint,fA34_FLWO|CfA3_KC_r'_1),0.01
Zeropoint,fA34_FLWO|CfA4_KC_r'_1),0.01
Zeropoint,fA34_FLWO|CfA4_KC_r'_2),0.01
Zeropoint,fA34_FLWO|CfA3_MC_i,0.01
Zeropoint,fA34_FLWO|CfA3_KC_i'_1),0.01
Zeropoint,fA34_FLWO|CfA4_KC_i'_1),0.01
Zeropoint,fA34_FLWO|CfA4_KC_i'_2),0.01
Lambda,CfA34_FLWO|CfA3_MC_B,20
Lambda,CfA34_FLWO|CfA3_KC_B_1,20
Lambda,CfA34_FLWO|CfA4_KC_B_1,20
Lambda,CfA34_FLWO|CfA4_KC_B_2,20
Lambda,CfA34_FLWO|CfA3_MC_V,20
Lambda,CfA34_FLWO|CfA3_KC_V_1,20
Lambda,CfA34_FLWO|CfA4_KC_V_1,20
Lambda,CfA34_FLWO|CfA4_KC_V_2,20
Lambda,fA34_FLWO|CfA3_MC_r,20
Lambda,fA34_FLWO|CfA3_KC_r'_1),20
Lambda,fA34_FLWO|CfA4_KC_r'_1),20
Lambda,fA34_FLWO|CfA4_KC_r'_2),20
Lambda,fA34_FLWO|CfA3_MC_i,20
Lambda,fA34_FLWO|CfA3_KC_i'_1),20
Lambda,fA34_FLWO|CfA4_KC_i'_1),20
Lambda,fA34_FLWO|CfA4_KC_i'_2),20
Zeropoint,CfA1_FLWO|CfA1_FLWO_B_thick,0.01
Zeropoint,CfA1_FLWO|CfA1_FLWO_B_thin,0.01
Zeropoint,CfA1_FLWO|CfA1_FLWO_V_thick,0.01
Zeropoint,CfA1_FLWO|CfA1_FLWO_V_thin,0.01
Zeropoint,CfA1_FLWO|CfA1_FLWO_R_thick,0.01
Zeropoint,CfA1_FLWO|CfA1_FLWO_R_thin,0.01
Zeropoint,CfA1_FLWO|CfA1_FLWO_I_thick,0.01
Zeropoint,CfA1_FLWO|CfA1_FLWO_I_thin,0.01
Lambda,CfA1_FLWO|CfA1_FLWO_B_thick,20
Lambda,CfA1_FLWO|CfA1_FLWO_B_thin,20
Lambda,CfA1_FLWO|CfA1_FLWO_V_thick,20
Lambda,CfA1_FLWO|CfA1_FLWO_V_thin,20
Lambda,CfA1_FLWO|CfA1_FLWO_R_thick,20
Lambda,CfA1_FLWO|CfA1_FLWO_R_thin,20
Lambda,CfA1_FLWO|CfA1_FLWO_I_thick,20
Lambda,CfA1_FLWO|CfA1_FLWO_I_thin,20
Zeropoint,CfA2_FLWO|CfA2_AC_SAO_U,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh1_SAO_U,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_SAO_U,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_Harris_U,0.01
Zeropoint,CfA2_FLWO|CfA2_AC_Harris_U,0.01
Zeropoint,CfA2_FLWO|CfA2_AC_SAO_B,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh1_SAO_B,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_SAO_B,0.01
Zeropoint,CfA2_FLWO|CfA2_AC_Harris_B,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_Harris_B,0.01
Zeropoint,CfA34_FLWO|CfA34_4Sh_Harris_B,0.01
Zeropoint,CfA2_FLWO|CfA2_AC_SAO_V,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh1_SAO_V,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_SAO_V,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_Harris_V,0.01
Zeropoint,CfA2_FLWO|CfA2_AC_Harris_V,0.01
Zeropoint,CfA34_FLWO|CfA34_4Sh_Harris_V,0.01
Zeropoint,CfA2_FLWO|CfA2_AC_SAO_R,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh1_SAO_R,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_SAO_R,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_Harris_R,0.01
Zeropoint,CfA2_FLWO|CfA2_AC_Harris_R,0.01
Zeropoint,CfA34_FLWO|CfA34_4Sh_Harris_R,0.01
Zeropoint,CfA2_FLWO|CfA2_AC_SAO_I,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh1_SAO_I,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_SAO_I,0.01
Zeropoint,CfA2_FLWO|CfA2_4Sh3_Harris_I,0.01
Zeropoint,CfA2_FLWO|CfA2_AC_Harris_I,0.01
Zeropoint,CfA34_FLWO|CfA34_4Sh_Harris_I,0.01
Lambda,CfA2_FLWO|CfA2_AC_SAO_U,20
Lambda,CfA2_FLWO|CfA2_4Sh1_SAO_U,20
Lambda,CfA2_FLWO|CfA2_4Sh3_SAO_U,20
Lambda,CfA2_FLWO|CfA2_4Sh3_Harris_U,20
Lambda,CfA2_FLWO|CfA2_AC_Harris_U,20
Lambda,CfA2_FLWO|CfA2_AC_SAO_B,20
Lambda,CfA2_FLWO|CfA2_4Sh1_SAO_B,20
Lambda,CfA2_FLWO|CfA2_4Sh3_SAO_B,20
Lambda,CfA2_FLWO|CfA2_AC_Harris_B,20
Lambda,CfA2_FLWO|CfA2_4Sh3_Harris_B,20
Lambda,CfA34_FLWO|CfA34_4Sh_Harris_B,20
Lambda,CfA2_FLWO|CfA2_AC_SAO_V,20
Lambda,CfA2_FLWO|CfA2_4Sh1_SAO_V,20
Lambda,CfA2_FLWO|CfA2_4Sh3_SAO_V,20
Lambda,CfA2_FLWO|CfA2_4Sh3_Harris_V,20
