ra,dec,z
191.380833,54.738056,0.016568
135.055620,-13.633980,0.032070
218.943833,45.188808,0.069774
181.357600,-21.400330,0.033146
306.083039,6.174524,0.073647
177.757542,-28.744081,0.006311
359.090917,32.456689,0.015013
248.614483,76.029539,0.040600
75.208500,-38.653197,0.056025
105.731250,62.772500,0.015300
284.670070,43.468860,0.028502
177.356167,-5.120500,0.009918
49.127980,-7.054955,0.058723
57.082417,70.131806,0.003718
359.172100,3.220300,0.037801
308.225792,9.928528,0.014730
129.596583,17.627722,0.028321
27.721933,33.098131,0.037093
4.109042,-0.352658,0.058512
208.162520,-2.002240,0.024997
190.694917,2.659481,0.004215
315.989620,13.368360,0.036014
175.364583,-38.634239,0.014817
43.492080,-21.648020,0.030390
122.310417,0.280889,0.018268
218.486692,3.798839,0.030794
149.749375,17.818719,0.026550
32.321458,-23.412436,0.017040
221.447875,50.396761,0.013715
333.668429,5.080158,0.024700
244.467810,-0.333631,0.057205
123.377625,71.429200,0.017538
314.125375,-18.559528,0.027542
184.881083,49.817833,0.014305
210.815630,41.603990,0.035014
256.801704,35.509828,0.028062
88.838042,-76.922444,0.016002
345.634125,32.586994,0.018770
153.451000,38.763167,0.023938
225.944792,-3.304556,0.021912
240.675125,37.359556,0.031534
348.805208,-44.742917,0.042900
30.553208,-0.097639,0.018778
182.486879,47.095642,0.032222
183.405454,46.483467,0.027225
198.886840,3.500640,0.021215
359.635254,-18.709163,0.032968
111.251750,23.784167,0.018912
11.984125,22.373961,0.018318
231.995500,42.846861,0.018888
164.947042,-16.819611,0.070253
141.110240,5.170750,0.092907
190.711542,-30.412125,0.015426
279.995587,39.982317,0.021450
64.407708,-62.769306,0.004321
336.382320,38.984310,0.029799
220.762830,-18.879052,0.078761
80.634879,-11.487183,0.008145
229.177523,7.396626,0.039100
174.417620,57.078190,0.073597
184.267817,46.627475,0.056440
154.160917,73.400500,0.009585
43.927458,75.153811,0.014020
332.058958,-25.061550,0.017205
142.229875,49.238139,0.009717
170.256425,21.339708,0.022153
49.838630,41.490250,0.012189
358.386421,8.117278,0.015951
221.777300,11.594900,0.029901
24.288352,-9.352497,0.040528
124.995017,62.820475,0.024844
176.107579,19.713233,0.025121
65.133833,-38.959969,0.041109
129.063117,28.067131,0.012409
36.434638,41.942097,0.018510
353.837100,1.175670,0.083862
181.021500,14.068310,0.045024
239.827000,13.614240,0.034799
353.012833,-27.725500,0.027385
202.303442,11.272403,0.012077
356.917333,-13.981917,0.080766
292.252130,-51.971040,0.015789
49.583990,-2.313377,0.027766
59.086333,-54.011150,0.061590
210.774208,54.273722,0.001195
328.093958,3.421806,0.027772
221.791913,-6.275370,0.071721
185.724794,15.808993,0.006298
92.876670,-16.484600,0.019271
157.365792,22.012889,0.055721
56.847630,0.877170,0.038907
49.366083,-0.086461,0.022287
26.436792,-56.099417,0.087752
270.130333,2.431819,0.023030
10.270405,6.794071,0.037889
163.221917,-32.926333,0.012063
38.011000,-26.665950,0.042645
124.472750,23.469583,0.014540
41.453458,3.230583,0.022268
120.029787,58.709753,0.019518
203.063580,84.678700,0.022962
333.105317,0.851417,0.095097
41.203735,-16.324900,0.076212
207.746190,49.343600,0.030109
319.148464,-0.769884,0.058773
340.114250,3.199444,0.038079
359.737708,-2.248083,0.024272
201.104333,30.956200,0.049184
159.867658,5.183442,0.069128
74.364288,-0.068981,0.023526
93.692480,-66.216940,0.040282
3.749292,16.335000,0.026587
154.423625,-7.415125,0.065641
194.942070,-3.170543,0.088999
267.624875,-1.802519,0.017178
353.307920,-60.569860,0.014353
80.458125,6.676028,0.032136
32.147652,9.921364,0.064198
240.965450,39.990390,0.032015
53.768138,-24.944129,0.004501
37.930850,-25.001620,0.084561
194.850021,27.996425,0.019314
305.893342,58.346472,0.009700
190.436917,35.068639,0.023969
39.010667,43.472086,0.017024
326.625429,6.419222,0.066140
90.200400,-15.399200,0.023007
213.354135,17.783317,0.038866
26.793083,-0.146982,0.082504
344.914610,2.149770,0.049976
30.276708,31.878944,0.016456
234.889667,32.093953,0.054189
121.601425,1.035836,0.016057
206.556417,-9.131089,0.051022
32.389847,-1.000619,0.042445
180.884958,-43.654811,0.016370
125.680212,22.554696,0.007658
108.930417,-71.919450,0.018124
312.453542,-25.700711,0.018966
18.421387,-0.101577,0.016541
230.667829,-5.921239,0.038699
257.546500,21.649036,0.014740
144.376242,23.159328,0.026047
353.598637,-0.683075,0.081179
156.676540,36.680730,0.025378
200.176667,-22.036750,0.007983
13.186436,-8.285443,0.072293
183.405454,46.483467,0.025969
8.978000,-75.637694,0.057523
91.117250,-20.340261,0.009963
71.358330,19.032780,0.071723
166.390833,19.688528,0.032719
50.522292,-15.387667,0.006615
306.675240,-12.207960,0.061796
162.105667,-25.159950,0.013694
64.151625,2.764167,0.010896
86.598250,63.368610,0.049283
159.449750,-27.085333,0.011149
244.013591,3.054838,0.074850
202.503340,-27.973420,0.035659
203.175380,-21.801210,0.030488
188.622917,2.199722,0.007178
193.630417,-6.856889,0.016570
239.127208,20.046000,0.032262
38.600833,-10.844028,0.015151
9.824920,3.950040,0.016485
198.811708,-17.965458,0.009530
42.293170,14.600690,0.028017
5.406564,-1.009973,0.082817
253.705920,36.725140,0.070943
46.038833,-26.085417,0.005076
354.485917,27.277147,0.026815
337.856510,10.794802,0.067371
78.699170,7.050360,0.030066
204.558443,-20.346047,0.041708
6.961992,-1.198092,0.011819
53.399960,-36.127140,0.005138
54.713960,-35.592220,0.006182
271.683000,6.838789,0.020647
92.130283,64.723561,0.014300
341.553410,10.559250,0.037606
14.072121,-1.629536,0.043631
47.427120,40.974800,0.019538
48.217194,-0.203558,0.066816
24.323333,5.880722,0.009557
353.651958,-4.534533,0.006174
341.802677,-19.578861,0.051393
60.859670,-5.492030,0.038001
50.523775,-15.400831,0.007000
161.758087,17.275220,0.005394
122.929013,41.554667,0.032159
144.384825,23.200681,0.023003
39.159000,8.642628,0.039564
358.356410,-15.654530,0.050620
211.885719,-26.551991,0.046899
257.297767,28.606400,0.033427
353.599797,-0.890334,0.087836
263.845667,60.813694,0.012500
227.956160,46.250890,0.018513
336.090150,-33.692580,0.010281
215.069530,15.341550,0.069100
247.442042,8.641833,0.033280
327.712250,-70.341361,0.012086
32.707196,34.982733,0.040200
243.716151,56.394934,0.064765
220.387208,48.203997,0.030099
27.950609,0.263313,0.058180
347.680408,7.569514,0.042949
179.804369,20.826155,0.071306
49.398996,-1.691719,0.027725
138.750083,29.735306,0.021974
19.052437,0.791937,0.085433
280.034583,40.126806,0.023120
358.680500,-25.676136,0.028974
218.141170,-44.224390,0.004642
266.547955,55.265225,0.029766
333.482458,13.756514,0.024080
175.283167,24.819611,0.012991
310.973208,12.514361,0.014506
208.209750,-30.706472,0.024805
21.093880,3.587560,0.022210
174.925750,31.908833,0.009974
38.860905,1.074848,0.093369
20.317629,40.498686,0.018696
156.022167,16.741019,0.019711
320.177242,44.398094,0.011400
1.007964,-11.168868,0.036707
245.941208,9.786625,0.034265
291.890167,54.386472,0.014022
334.573333,40.569333,0.002884
354.430042,-47.510917,0.009883
149.801770,-9.002295,0.034516
208.528460,9.412660,0.023818
15.666250,-49.656972,0.029910
28.887290,33.822970,0.086550
192.104046,-5.794183,0.005272
52.363333,-37.271917,0.063347
343.133583,11.674083,0.027553
305.901083,-28.278722,0.009445
24.572475,35.370294,0.015545
274.745708,16.248167,0.014706
184.321583,16.371556,0.024214
38.081730,7.399473,0.064557
41.478610,11.124162,0.080637
5.515042,27.040653,0.064829
351.981250,8.779186,0.027655
323.405670,-8.165510,0.087820
171.259602,-9.798300,0.007451
190.703958,10.360417,0.026316
146.082292,-21.273611,0.008804
34.583446,37.466272,0.038200
14.794560,27.010111,0.057694
288.444792,-59.289667,0.014446
186.158004,10.838075,0.027302
170.941167,-1.105889,0.020023
243.223917,-21.630176,0.032029
109.135833,-29.325500,0.006331
36.799988,-4.534814,0.067451
192.422350,-11.092890,0.014833
18.488784,0.371668,0.044338
162.900040,69.833970,0.068300
98.104833,-71.567778,0.014780
272.916427,50.180977,0.044838
51.795371,46.944222,0.019210
55.570333,-4.721806,0.013565
25.985730,17.062340,0.025785
186.803458,9.420333,0.002596
255.030000,23.132389,0.056806
230.671330,50.976510,0.034927
143.914292,-17.386361,0.015241
126.783880,27.811590,0.021042
145.643792,10.993161,0.022110
47.205556,-7.033325,0.028394
21.701531,-1.238102,0.056369
14.692500,12.745830,0.037991
96.859875,-35.840056,0.054362
32.961314,14.453380,0.087923
2.013080,-36.564390,0.024112
157.233208,-44.665444,0.009473
87.814583,-38.317278,0.010654
121.394208,-11.437861,0.006135
320.072596,-1.683911,0.015200
36.457701,25.405381,0.048950
99.258108,44.256670,0.090233
205.846920,-19.943680,0.032644
163.823500,-14.300383,0.094169
35.805040,-4.517240,0.016775
38.344958,9.584889,0.019593
202.354508,11.796247,0.022583
25.463467,-0.876399,0.092269
24.883460,33.826680,0.015216
344.927535,-0.013712,0.044043
35.738617,1.025760,0.088059
209.340583,-34.773461,0.014825
216.570596,26.248678,0.030924
206.252170,61.280250,0.035143
261.674350,13.909850,0.023095
170.493240,-13.983670,0.064195
225.652300,23.352650,0.046119
50.753042,1.361889,0.032815
272.799542,49.861306,0.053693
108.977708,-57.343583,0.004170
359.218263,5.508861,0.016788
36.413387,24.764775,0.072138
10.690831,-23.558361,0.021276
197.517500,-46.441750,0.011155
264.687435,4.197393,0.074135
78.951417,6.777600,0.027001
140.866750,-23.169650,0.010151
240.538542,36.718889,0.095055
174.640750,25.396350,0.026435
107.942063,49.853633,0.020200
220.600860,-17.246542,0.010090
120.035092,56.368681,0.030000
287.655550,37.654720,0.027431
322.848958,43.608667,0.017334
27.095258,11.520869,0.016285
44.391750,5.978140,0.022372
199.214167,31.586611,0.030651
12.647471,4.793992,0.071624
21.238363,9.550361,0.007036
169.052540,2.808090,0.078274
357.412208,29.931281,0.016414
32.891479,23.880318,0.054286
268.962208,62.599750,0.027215
14.995218,-9.009152,0.056282
198.457167,6.958861,0.025011
10.562931,-19.193520,0.060586
5.337880,-48.641760,0.010615
204.023292,-11.621353,0.075039
28.525170,-56.695130,0.019859
241.388208,17.592556,0.034283
6.658410,2.995596,0.056074
162.205410,-20.263940,0.014065
153.209667,12.682417,0.010513
299.759500,-56.258333,0.040058
24.550233,41.655264,0.036171
200.829583,-19.621408,0.017802
290.663125,43.890806,0.041394
175.041917,30.029361,0.033813
277.606458,34.103611,0.020193
317.399290,15.125500,0.029648
337.672525,-0.776589,0.088477
84.132000,16.642389,0.017609
272.027070,25.408700,0.015182
239.283950,-12.673300,0.023748
179.107790,55.128670,0.004277
323.521708,10.423508,0.075512
5.346250,22.435640,0.019925
176.053917,33.516278,0.032790
258.000808,46.555983,0.022900
27.723167,-36.008561,0.018461
214.129170,39.586670,0.026185
25.140417,18.510106,0.063980
346.511750,34.110033,0.017912
2.865090,-6.427310,0.023489
299.053554,40.436242,0.015158
192.196833,41.924528,0.027885
353.174450,15.358836,0.051305
191.272083,-44.006417,0.017203
212.515812,33.168724,0.067094
192.511746,-14.766711,0.014047
3.634000,-0.736361,0.012023
334.402838,0.613342,0.092107
158.200000,4.197708,0.031116
317.710083,0.202056,0.030666
235.059042,11.344861,0.082476
39.548388,-1.312644,0.007989
351.176200,-8.485561,0.098691
226.168375,6.072483,0.048638
345.012208,15.980806,0.006090
281.749833,45.705472,0.015301
341.492277,-0.648736,0.090072
130.050040,-4.591940,0.015248
103.275458,50.039472,0.020126
16.363331,37.853071,0.019785
196.375342,-8.764633,0.044139
208.198900,5.313447,0.085000
14.121691,-1.226673,0.037110
299.672125,-52.356569,0.018526
3.006570,26.393680,0.013898
17.714042,15.461046,0.073053
24.420002,-13.312130,0.040087
242.572833,22.725800,0.033202
165.331380,70.665210,0.030922
54.848946,35.047050,0.002515
80.570917,-25.596392,0.031059
167.357320,29.573230,0.035889
115.123540,10.933310,0.068407
353.120417,23.936444,0.015806
177.270833,-9.736361,0.020478
29.199781,-0.213722,0.044967
225.345125,-10.180681,0.032701
17.714040,15.461124,0.073353
281.559917,35.968686,0.023503
249.371083,40.880639,0.026427
332.715267,2.108150,0.039917
353.952000,20.708780,0.060671
86.696958,-16.783417,0.007364
187.785864,0.605457,0.024152
243.868290,19.226645,0.032822
106.359430,-76.009910,0.021893
18.526958,-32.657167,0.011096
126.106960,24.997740,0.092836
40.286910,43.680220,0.022198
323.038800,-5.726000,0.026350
104.393583,-45.812306,0.039407
54.158125,-18.353806,0.078842
254.127467,27.976064,0.035403
38.424575,37.668922,0.034451
329.957167,-30.270972,0.055314
236.663156,3.495759,0.041725
194.674020,-32.123890,0.018380
41.929708,13.254111,0.028940
3.749292,-51.211000,0.069333
353.504240,-13.295920,0.087243
26.027370,34.382830,0.034955
22.862167,14.284917,0.013931
194.863720,14.171050,0.007633
61.561000,-8.885630,0.036378
155.007170,56.461030,0.025459
303.499833,-44.352167,0.018769
162.841914,8.578428,0.023318
167.685667,4.847531,0.020575
24.393487,-9.198715,0.069172
4.189400,1.200892,0.042891
351.667450,-0.840276,0.081411
198.811717,-17.965459,0.010300
233.095000,41.849890,0.043077
335.372167,-22.262792,0.022826
202.303417,11.272389,0.022926
5.722364,0.775986,0.069772
256.067042,41.510353,0.033732
181.137250,20.203167,0.021821
359.859130,-24.424090,0.049636
175.707708,77.370261,0.005744
351.055750,7.228614,0.054651
151.436051,18.316994,0.081517
339.876083,8.605917,0.023506
37.913125,39.381194,0.026019
0.895933,23.196019,0.023200
263.108583,7.063161,0.005427
36.930163,28.176864,0.034100
311.485208,-51.394444,0.014095
108.059780,7.239780,0.028948
31.266495,0.174558,0.076639
320.928922,-0.843471,0.060158
31.081331,-8.728431,0.017005
33.030607,10.863266,0.091658
23.403250,28.133283,0.071088
344.642833,15.173758,0.029392
159.991917,24.090467,0.022093
257.441800,62.974170,0.027218
227.868375,13.484917,0.022376
317.267000,-26.905500,0.027635
46.322000,-39.561028,0.019790
209.768570,33.138970,0.051650
213.595000,2.975280,0.026913
121.526381,30.546630,0.074060
204.166833,-33.967025,0.013531
308.732258,-23.104272,0.041650
176.441046,19.770483,0.019100
126.776327,21.646140,0.026081
317.282840,-18.103950,0.020193
353.719540,18.226500,0.003387
3.644375,48.252250,0.016930
144.630125,-63.973778,0.015740
242.485250,43.126636,0.032800
261.413138,59.446778,0.017980
16.444457,-0.758833,0.065297
226.511050,7.561540,0.038320
355.059210,26.203280,0.029619
20.289144,-4.237651,0.068015
326.901000,-13.181194,0.016972
227.396929,4.876092,0.035492
146.706233,16.043825,0.021100
27.293000,5.639810,0.016162
169.877421,54.462836,0.070281
196.350042,56.324181,0.008941
17.728530,-6.453865,0.073370
102.835225,45.644603,0.021158
43.754371,16.009731,0.032078
36.909833,-1.159833,0.003969
315.873417,-67.183639,0.010133
171.977170,27.345780,0.033713
37.680208,-2.938833,0.018299
334.870000,29.384583,0.014608
130.204790,73.487540,0.012223
354.058380,23.695940,0.083652
218.719583,40.748019,0.019510
85.483292,18.497500,0.015346
171.014359,-12.291489,0.017988
142.557060,69.117370,0.015149
140.376958,-9.691628,0.055079
18.679667,0.285331,0.044081
347.594330,7.588940,0.037865
62.258917,-1.160111,0.016576
144.186750,-21.147694,0.008700
192.255129,-9.452912,0.014029
160.117583,9.202333,0.020407
276.710167,51.137894,0.032750
197.038040,27.826360,0.023960
28.330680,17.314810,0.077987
243.822583,-61.131539,0.016653
200.216781,21.333692,0.090365
203.149220,-5.272590,0.029944
22.453797,-1.976972,0.018037
332.207083,38.151381,0.019557
121.289375,66.787556,0.016502
244.520708,21.551111,0.034325
168.545990,48.318680,0.007730
358.070680,-22.755520,0.048261
243.298917,1.591972,0.033618
30.415067,15.332814,0.044045
259.876083,47.701278,0.016694
169.450792,13.728211,0.025970
327.282542,0.444222,0.014633
191.977183,54.010578,0.011544
220.714948,8.760656,0.035908
239.373750,15.872761,0.017558
121.331250,22.963780,0.045480
178.232083,36.986556,0.003927
340.928609,24.365577,0.068656
19.182459,0.794626,0.075044
259.341792,41.066722,0.027459
145.089417,-6.988822,0.017642
179.957500,54.802110,0.078334
224.866521,58.002725,0.074671
325.820375,43.579889,0.017642
207.454740,-3.080080,0.047811
345.534480,-4.422276,0.093264
250.812762,32.674322,0.052951
320.924380,33.114600,0.048393
55.596908,39.241750,0.040523
42.248210,3.169580,0.013181
200.257488,58.550778,0.053369
24.348742,-0.311999,0.054876
161.066542,34.947106,0.068123
46.285900,37.900200,0.016708
27.431454,32.628419,0.036713
255.896414,31.353257,0.077377
10.466833,32.990333,0.015407
64.526125,-63.615069,0.017008
128.638833,-2.543361,0.015029
150.807258,1.895292,0.047923
244.699829,25.187906,0.040155
196.710208,15.575658,0.063503
45.385000,-15.015990,0.030021
43.566308,42.724764,0.020496
131.520250,59.695644,0.047076
162.766642,65.779556,0.011269
355.893250,0.568503,0.081358
216.826430,-1.675330,0.054857
44.972375,1.160715,0.071915
28.426670,29.936310,0.024742
1.557542,8.888194,0.037268
358.553992,27.409172,0.024400
224.181875,9.328472,0.080402
350.290846,33.400206,0.015210
255.466946,79.031739,0.064244
324.921050,24.406700,0.037038
347.856000,-1.865100,0.075197
50.673417,-37.203611,0.005588
36.338359,-8.649839,0.054812
1.726153,24.997919,0.058637
226.140025,35.964036,0.049992
245.544121,-1.514258,0.017025
277.043500,-71.694110,0.011729
239.127200,20.045922,0.032508
34.998458,-55.547278,0.059629
154.597167,-13.103111,0.031335
193.451125,-39.697100,0.011167
307.148083,25.735644,0.013292
336.600117,21.249064,0.030437
332.355458,-1.648000,0.032400
347.521054,30.223283,0.030766
221.986230,2.871924,0.064540
333.999735,-1.610731,0.097956
152.251250,-26.640111,0.045775
109.491208,9.693011,0.029245
33.319292,-7.661333,0.015095
60.961083,-2.655000,0.066176
162.570333,-12.108889,0.016647
145.228137,5.140600,0.007671
115.485542,-62.519111,0.035695
187.787500,-35.930489,0.020962
164.416488,37.661500,0.036004
176.023342,-4.673669,0.058295
326.889442,5.858417,0.059975
354.946464,0.205234,0.067344
229.869292,-9.880564,0.024501
145.781575,9.658744,0.060662
350.984333,16.775000,0.039845
171.409420,7.333560,0.074676
330.418542,-21.508394,0.016257
62.091875,-9.902944,0.069673
323.292667,-18.340583,0.048938
35.141369,4.454653,0.039541
36.859100,9.750158,0.054653
54.344333,-33.044472,0.038756
207.501375,-30.576167,0.013304
340.362042,39.289444,0.016210
322.154697,1.228150,0.048292
295.917875,56.110083,0.011270
185.313083,-21.998806,0.023979
187.841044,29.134436,0.016127
21.345233,34.025017,0.014922
134.271417,-20.035039,0.019587
219.458667,30.483944,0.035325
49.210988,80.784625,0.007567
215.587696,-0.393822,0.006309
159.985092,58.414917,0.071845
244.126392,35.708358,0.028100
29.453621,36.340556,0.014727
310.843333,80.154069,0.015690
339.194792,20.358772,0.055343
269.418167,50.038811,0.022023
20.739083,33.466111,0.012765
343.793430,-0.410280,0.067583
10.158035,-8.881820,0.077846
142.218570,-12.897167,0.042848
4.185330,15.342090,0.068701
139.053244,-16.304440,0.009371
9.074875,11.394583,0.034796
255.799000,61.457239,0.019592
320.257208,9.180667,0.019738
212.490667,17.542306,0.016998
350.127375,24.777611,0.026491
142.094042,27.444803,0.033798
214.296800,7.360670,0.059501
195.059625,27.954556,0.016381
274.898190,23.785890,0.016296
215.915842,-19.447258,0.036989
330.454458,13.055306,0.030788
38.001292,1.248194,0.021185
22.846667,60.320458,0.013971
21.774963,19.116897,0.042053
159.935650,15.034660,0.067231
161.756017,26.543814,0.022047
190.437058,35.068869,0.023600
136.891929,3.392261,0.013579
346.839708,2.907839,0.061689
192.885167,40.444608,0.066622
358.680485,-25.676137,0.029271
239.088792,36.537197,0.066667
120.556750,67.512150,0.085004
266.776333,57.301306,0.028012
161.236827,23.263728,0.049923
192.150042,-41.325981,0.010871
244.811420,40.420580,0.083326
324.286417,0.437167,0.049717
140.719208,21.987761,0.035576
337.674900,39.293120,0.015783
3.734167,-30.557806,0.064096
249.411667,72.373500,0.014254
277.509930,39.965090,0.017894
55.680208,-2.669378,0.047259
53.388583,-62.554083,0.028795
142.652420,21.411750,0.082679
16.704880,-46.983320,0.015366
247.565417,5.932981,0.050216
47.643750,4.269667,0.022318
75.889110,6.659934,0.028336
155.624590,15.096580,0.046771
146.107090,-18.548340,0.061197
333.831958,-65.548169,0.009854
193.141273,-9.775189,0.009683
33.992290,12.237390,0.017958
236.753175,-0.990256,0.030322
38.090963,22.747515,0.039963
102.653040,31.112380,0.018387
27.690708,21.759833,0.007958
42.530183,12.845914,0.033500
126.925125,21.487444,0.015142
131.469033,43.818842,0.079856
88.270042,-17.867639,0.010674
357.342802,19.207282,0.069632
14.390190,-1.388790,0.043855
154.527135,21.828240,0.005349
191.875708,-39.580028,0.016466
339.554917,35.491667,0.025830
70.035000,7.350000,0.016179
254.494792,-62.731583,0.016949
216.168850,26.626469,0.037839
133.514025,-7.189300,0.036060
236.744540,17.884040,0.011360
357.428908,-69.700661,0.038710
346.827954,-13.518787,0.067722
195.296729,53.815969,0.030539
121.864250,25.129150,0.021416
38.498667,20.975111,0.013532
164.967592,19.794933,0.028580
103.999542,55.400833,0.026565
309.471874,1.221122,0.078908
334.049190,37.473920,0.016964
39.616042,29.759011,0.016189
36.373308,41.843033,0.016658
191.015985,-5.102755,0.056193
320.382778,0.993306,0.032992
74.251454,-4.761122,0.012900
